Timestamp,Voltage,Slope_Change
2024-06-26 15:23:03,90,-49.0
2024-06-26 22:23:19,100,-10.0
2024-06-27 01:39:37,68,-3.0
2024-06-27 03:14:48,85,-29.0
2024-06-27 14:07:01,100,-62.0
2024-06-27 17:15:03,68,-15.0
2024-06-27 19:42:16,89,-45.0
2024-06-28 06:45:05,100,-72.0
2024-06-28 15:40:23,78,-31.0
2024-06-28 20:28:58,82,-48.0
2024-06-28 21:06:19,100,-8.0
2024-06-29 02:35:10,52,-5.0
2024-06-29 03:11:28,43,-3.0
2024-06-29 05:21:56,82,-42.0
2024-06-29 05:39:51,77,-3.0
2024-06-29 06:07:36,68,-4.0
2024-06-29 06:27:24,63,-3.0
2024-06-29 10:45:21,100,-8.0
2024-06-29 18:00:58,52,-3.0
2024-06-29 20:01:05,78,-40.0
2024-06-30 00:27:11,66,-34.0
2024-06-30 02:55:20,100,-21.0
2024-06-30 10:27:52,91,-47.0
2024-06-30 16:41:26,100,-75.0
2024-07-01 01:01:30,83,-22.0
2024-07-01 06:54:54,100,-57.0
2024-07-01 16:45:15,89,-43.0
2024-07-01 23:08:57,100,-38.0
2024-07-02 03:41:02,82,-24.0
2024-07-02 09:24:25,100,-64.0
2024-07-02 20:03:58,92,-49.0
2024-07-03 00:31:09,39,-8.0
2024-07-03 01:41:20,100,-61.0
